MEP_system,Image_ID,Ansatz,Fine-tune/Train_steps,E(Hartree)
Ethane,0,"Orbformer scratch, single structures",250,-79.23542789789211
Ethane,1,"Orbformer scratch, single structures",250,-79.2643696795887
Ethane,2,"Orbformer scratch, single structures",250,-79.2625240090143
Ethane,3,"Orbformer scratch, single structures",250,-79.15245800676622
Ethane,4,"Orbformer scratch, single structures",250,-79.21250062584518
Ethane,5,"Orbformer scratch, single structures",250,-79.09495423470163
Ethane,6,"Orbformer scratch, single structures",250,-79.10731419081858
Ethane,7,"Orbformer scratch, single structures",250,-79.04136094613096
Ethane,8,"Orbformer scratch, single structures",250,-79.08426463826497
Ethane,9,"Orbformer scratch, single structures",250,-78.95245706311381
Ethane,10,"Orbformer scratch, single structures",250,-78.89101256773549
Ethane,11,"Orbformer scratch, single structures",250,-78.92875355705476
Ethane,12,"Orbformer scratch, single structures",250,-78.98924130953903
Ethane,13,"Orbformer scratch, single structures",250,-78.96106843000679
Ethane,14,"Orbformer scratch, single structures",250,-78.90958591875176
Ethane,15,"Orbformer scratch, single structures",250,-79.03143707781615
Ethane,16,"Orbformer scratch, single structures",250,-79.07605968686543
Ethane,17,"Orbformer scratch, single structures",250,-78.98816525096449
Ethane,18,"Orbformer scratch, single structures",250,-78.72765375854226
Ethane,19,"Orbformer scratch, single structures",250,-79.1042294429681
Ethane,0,"Orbformer scratch, single structures",1000,-79.68529337315576
Ethane,1,"Orbformer scratch, single structures",1000,-79.66256757948133
Ethane,2,"Orbformer scratch, single structures",1000,-79.67037654621254
Ethane,3,"Orbformer scratch, single structures",1000,-79.59899175431461
Ethane,4,"Orbformer scratch, single structures",1000,-79.54218153720431
Ethane,5,"Orbformer scratch, single structures",1000,-79.4585132598877
Ethane,6,"Orbformer scratch, single structures",1000,-79.46641295040585
Ethane,7,"Orbformer scratch, single structures",1000,-79.45307417466906
Ethane,8,"Orbformer scratch, single structures",1000,-79.41833562045628
Ethane,9,"Orbformer scratch, single structures",1000,-79.47723522101508
Ethane,10,"Orbformer scratch, single structures",1000,-79.53667062886556
Ethane,11,"Orbformer scratch, single structures",1000,-79.49494847876365
Ethane,12,"Orbformer scratch, single structures",1000,-79.5032552693685
Ethane,13,"Orbformer scratch, single structures",1000,-79.49086718410916
Ethane,14,"Orbformer scratch, single structures",1000,-79.47302845283762
Ethane,15,"Orbformer scratch, single structures",1000,-79.48826991441514
Ethane,16,"Orbformer scratch, single structures",1000,-79.48919480556911
Ethane,17,"Orbformer scratch, single structures",1000,-79.4647611805138
Ethane,18,"Orbformer scratch, single structures",1000,-79.50331324768067
Ethane,19,"Orbformer scratch, single structures",1000,-79.49651505025228
Ethane,0,"Orbformer scratch, single structures",4000,-79.77822989908854
Ethane,1,"Orbformer scratch, single structures",4000,-79.76901261393229
Ethane,2,"Orbformer scratch, single structures",4000,-79.76410717773437
Ethane,3,"Orbformer scratch, single structures",4000,-79.72033954874675
Ethane,4,"Orbformer scratch, single structures",4000,-79.6587692159017
Ethane,5,"Orbformer scratch, single structures",4000,-79.59383723958334
Ethane,6,"Orbformer scratch, single structures",4000,-79.56632804361979
Ethane,7,"Orbformer scratch, single structures",4000,-79.52562447102865
Ethane,8,"Orbformer scratch, single structures",4000,-79.54228170776368
Ethane,9,"Orbformer scratch, single structures",4000,-79.58018896484376
Ethane,10,"Orbformer scratch, single structures",4000,-79.57765189615886
Ethane,11,"Orbformer scratch, single structures",4000,-79.58850055948893
Ethane,12,"Orbformer scratch, single structures",4000,-79.58963018798828
Ethane,13,"Orbformer scratch, single structures",4000,-79.6023916015625
Ethane,14,"Orbformer scratch, single structures",4000,-79.59618655395508
Ethane,15,"Orbformer scratch, single structures",4000,-79.5972898050944
Ethane,16,"Orbformer scratch, single structures",4000,-79.6046246846517
