MEP_system,Image_ID,Reference_E(Hartree),Reference_E_std(Hartree)
Ethane,0,-79.82484961293652,0.0016364679879643518
Ethane,1,-79.82256340764476,0.0005465374501483211
Ethane,2,-79.81550097245751,0.0005656198269008428
Ethane,3,-79.77021670125438,0.00039772600968035476
Ethane,4,-79.70922468923047,0.0004993106461768093
Ethane,5,-79.65521143697215,5.273515920123373e-05
Ethane,6,-79.63421829957544,0.0007350400159396031
Ethane,7,-79.60234755296288,0.0014254395181438895
Ethane,8,-79.59742798585475,0.0012119471565483764
Ethane,9,-79.6342221142727,0.0004051039696406633
Ethane,10,-79.64303862351953,0.0015256418467686217
Ethane,11,-79.64785473607495,0.0014617714004003801
Ethane,12,-79.6468822743374,0.0014456468294810065
Ethane,13,-79.64784483689843,0.0016110764964594182
Ethane,14,-79.64878763936473,0.0005013394240052094
Ethane,15,-79.64919907353831,0.00016691182761974233
Ethane,16,-79.64992554444852,0.0009733463288625899
Ethane,17,-79.65029867906152,0.0007820900089967608
Ethane,18,-79.65004555486156,0.001255268100436524
Ethane,19,-79.64967287801218,0.0008381704329849526
Formamide,0,-169.9031604200994,0.00012120693078829781
Formamide,1,-169.90377725801045,1.4054452918544044e-05
Formamide,2,-169.89903746646044,0.00010378890400644775
Formamide,3,-169.88887370726093,9.488621460484687e-05
Formamide,4,-169.8681131643334,7.880747525857359e-05
Formamide,5,-169.73233954595185,8.569947673289477e-05
Formamide,6,-169.71585017933376,3.746589444140055e-05
Formamide,7,-169.83813087205826,5.556261377693863e-05
Formamide,8,-169.862349924223,5.4309131091529455e-05
Formamide,9,-169.86517668336623,8.554583763632187e-05
Formamide,10,-169.8652736710562,6.33042808448699e-05
Formamide,11,-169.85040960247682,5.999169244771906e-05
Formamide,12,-169.73853021520065,3.634848837012244e-05
Formamide,13,-169.6944604986207,7.568746012067097e-05
Formamide,14,-169.69351603915453,3.68544436992303e-05
Formamide,15,-169.69160108337073,8.202648921952965e-05
Formamide,16,-169.69411058827865,0.00013604478124362067
Formamide,17,-169.69242722677464,0.0001843913712132169
Formamide,18,-169.69549315760554,0.00011810162625811461
Formamide,19,-169.69410961349556,5.908171608107774e-05
1-Propanol,0,-194.35847123768625,2.3329225571223528e-05
1-Propanol,1,-194.35793469220326,3.572617882749587e-05
1-Propanol,2,-194.35671563092396,7.49358889273332e-05
1-Propanol,3,-194.34605616170057,9.654129848464929e-05
1-Propanol,4,-194.31956599980526,9.439542413873036e-05
1-Propanol,5,-194.23574815961047,9.124760707822688e-05
1-Propanol,6,-194.20288883305676,2.5734305686575904e-05
1-Propanol,7,-194.18426138554736,4.0406550243549826e-05
1-Propanol,8,-194.176168107044,4.417537465221308e-05
1-Propanol,9,-194.17344618512317,6.674408151759034e-05
1-Propanol,10,-194.17315868474174,5.052403678872824e-05
1-Propanol,11,-194.1727395066013,4.572957835318954e-05
1-Propanol,12,-194.17311950474866,5.39602507588039e-05
1-Propanol,13,-194.17261683369762,9.257968446653061e-05
1-Propanol,14,-194.17323874188548,8.672008160146207e-05
1-Propanol,15,-194.17327834492846,6.877157020827857e-05
1-Propanol,16,-194.1730624323003,6.568068060923093e-05
1-Propanol,17,-194.17616649151972,0.00012775013603891458
1-Propanol,18,-194.17523028203175,0.0001746977276293949
1-Propanol,19,-194.1762468187444,3.4064907932496355e-05
2-Aminopropan-2-ol,0,-249.72372372685595,0.00011903719336358294
2-Aminopropan-2-ol,1,-249.72085811673335,8.976130699476621e-05
2-Aminopropan-2-ol,2,-249.72219521657155,9.938781799481368e-05
2-Aminopropan-2-ol,3,-249.72365877324657,9.217277972615094e-05
2-Aminopropan-2-ol,4,-249.72744944940814,4.785055854304554e-05
2-Aminopropan-2-ol,5,-249.72453830052544,0.00011093107371224392
2-Aminopropan-2-ol,6,-249.6950160638921,0.00010383777837353974
2-Aminopropan-2-ol,7,-249.6397978342168,7.99807387114884e-05
2-Aminopropan-2-ol,8,-249.61614884778186,0.00011646644407956218
2-Aminopropan-2-ol,9,-249.5990576788061,8.015765565317468e-05
2-Aminopropan-2-ol,10,-249.58461198636203,7.227873994989232e-05
2-Aminopropan-2-ol,11,-249.5717609929636,0.000141273060218195
2-Aminopropan-2-ol,12,-249.56163902608083,0.00013116961140129037
2-Aminopropan-2-ol,13,-249.56517574496687,0.00014365522821350725
2-Aminopropan-2-ol,14,-249.56474003773855,0.00025505796787781305
2-Aminopropan-2-ol,15,-249.5657180854997,0.00029417550009172984
2-Aminopropan-2-ol,16,-249.56542014485524,7.962494733514668e-05
2-Aminopropan-2-ol,17,-249.56586488382354,0.00019727812265850196
2-Aminopropan-2-ol,18,-249.56580165845043,0.00012961055392001508
2-Aminopropan-2-ol,19,-249.5658121034733,0.00013934484859656328
L-Alanine,0,-323.7629044762504,0.00022454215706052877
L-Alanine,1,-323.77084620095235,0.00025722954635152477
L-Alanine,2,-323.7671884858546,0.00028857422318609785
L-Alanine,3,-323.76159777178884,0.0002823416907542968
L-Alanine,4,-323.7680335635927,0.00033065305989621725
L-Alanine,5,-323.7734381690978,9.694961350662899e-05
L-Alanine,6,-323.7521071750813,0.0002941546256230504
L-Alanine,7,-323.7586406139587,3.414548339390054e-05
L-Alanine,8,-323.76476703156067,0.00025040734537708177
L-Alanine,9,-323.76331042754117,0.00022668585620006009
L-Alanine,10,-323.75991693032927,0.00011076251544488286
L-Alanine,11,-323.76475943898174,0.000151974254300495
L-Alanine,12,-323.7596217592826,0.00010878366810745707
L-Alanine,13,-323.7621717185462,5.226552774087293e-05
L-Alanine,14,-323.66576070857684,0.00018757779889291138
L-Alanine,15,-323.6047269569343,7.691767416365232e-05
L-Alanine,16,-323.52371281294484,4.859639445946061e-05
L-Alanine,17,-323.6069830685396,9.155800464385378e-05
L-Alanine,18,-323.60704674208984,0.0003478011329126086
L-Alanine,19,-323.6134214193474,9.046759201388923e-05
