ID,CASSCF_DZ,MRCISD_DZ,Time_DZ
0,-193.242474345,-193.822150260012,5517.036
1,-193.247585879,-193.822086902837,6055.135
2,-193.241700629,-193.822831190841,5071.690
3,-193.233731820,-193.809329972641,7043.771
4,-193.225842627,-193.785703352207,5370.607
5,-193.147149218,-193.708088943853,6350.344
6,-193.125755101,-193.675969249116,8752.849
7,-193.098520299,-193.658685391693,7898.152
8,-193.092902471,-193.649089019157,9673.256
9,-193.084412872,-193.648209889234,7008.241
10,-193.084311661,-193.647459543276,6985.556
11,-193.070885976,-193.649137072905,6730.991
12,-193.071087478,-193.649112765798,6811.379
13,-193.076143920,-193.648486989486,8245.455
14,-193.058749582,-193.650084032176,7872.656
15,-193.059065447,-193.650745813294,8862.997
16,-193.058649089,-193.649936243921,9017.703
17,-193.074773902,-193.639297935975,9984.594
18,-193.074749553,-193.639293749001,10358.697
19,-193.074678544,-193.639319297187,10135.360
