ID,CASSCF_DZ,CASSCF_TZ,NEVPT2_DZ,NEVPT2_TZ,Time_DZ,Time_TZ,CASSCF_CBS,NEVPT2_CBS
0,-193.23976519135343,-193.27054178310289,-193.80092980588225,-194.0367403998612,3.8685214519500732_2227.3561613559723_11.698652744293213,34.91393518447876_10104.693152666092_38.77366614341736,-193.2810731062217,-194.16331522148852
1,-193.2343847844394,-193.2937889645189,-193.79024702480507,-194.0380642586384,3.9412293434143066_1535.0592436790466_12.444409132003784,35.821935415267944_6774.71594619751_38.01755976676941,-193.31411625157267,-194.16502805322028
2,-193.23282682593816,-193.292601166802,-193.8027796152984,-194.03668211529265,3.8078582286834717_2365.1909730434418_11.701354503631592,34.752509117126465_9325.205585956573_37.68993639945984,-193.31305511774556,-194.1556877237887
3,-193.22215809302435,-193.28127264628145,-193.79358392052845,-194.0274193306607,4.266168832778931_2223.5257909297943_11.819311618804932,35.16682147979736_8075.50115609169_37.69659209251404,-193.30150082705092,-194.1465346192939
4,-193.20150300231748,-193.25057527364268,-193.76939331180736,-194.0019805035972,4.057644367218018_1390.595030784607_11.697196960449219,35.11402082443237_9734.920326471329_37.882421255111694,-193.26736712472575,-194.12263665605303
5,-193.09107231202483,-193.2206369667711,-193.69035440821585,-193.91001583226247,4.620872497558594_1787.5659773349762_11.79062008857727,39.05474829673767_15341.067281246185_39.899954319000244,-193.26497219579915,-194.00534330745572
6,-193.0499807581528,-193.17349903616835,-193.64515235600257,-193.8762533685364,5.164973020553589_2465.186057806015_11.7579345703125,43.48978805541992_17609.497221708298_39.76048398017883,-193.21576527888473,-193.97940842362956
7,-192.9983363473337,-193.1665075253941,-193.6223785878101,-193.8595585632904,5.777542591094971_2750.2743167877197_12.048890113830566,45.401567220687866_5507.926525354385_38.12553572654724,-193.22405337159594,-193.956161454633
8,-192.9573869903221,-193.1219232216294,-193.5771704939573,-193.8169580187693,6.102404594421387_1159.6282818317413_12.043619155883789,47.815571546554565_14395.790353536606_39.373788356781006,-193.17822523943437,-193.9158501595325
9,-193.09393117276,-193.12073558824693,-193.6195862464105,-193.85148171989792,6.225662469863892_1936.1776509284973_11.689700603485107,49.802172899246216_6688.695478439331_37.508047103881836,-193.12990768770496,-193.97672960983166
10,-193.09300758359385,-193.1421096827445,-193.6143972856569,-193.84900645658848,6.612443447113037_2244.7341923713684_11.834772109985352,52.65808868408203_5925.389628410339_38.129544734954834,-193.158911740496,-193.97080031752117
11,-193.09361542499693,-193.15976035844693,-193.6190574871273,-193.8498957497146,6.835698366165161_2788.174237012863_11.671595811843872,52.33852767944336_13966.682991743088_38.92098569869995,-193.1823942378741,-193.96574143736035
12,-193.09375847777343,-193.1205330387361,-193.61907562378784,-193.85120342163725,6.37744402885437_2900.201559782028_11.722972631454468,58.83420920372009_6324.273350715637_39.22964429855347,-193.12969492238975,-193.9765894816678
13,-193.0938440689412,-193.14231735754544,-193.61905311225743,-193.84866198938212,7.358196258544922_2019.6089358329773_11.70895504951477,61.26711964607239_20540.80283164978_39.37786674499512,-193.15890424504357,-193.96776654306123
14,-193.0938972472036,-193.1425161200208,-193.6187393451374,-193.8487557763011,7.7943408489227295_1001.573385477066_11.959109544754028,63.021989583969116_17095.28769636154_39.22068166732788,-193.1591528244187,-193.96805841445894
15,-193.0808437487121,-193.14265999077807,-193.61808852250465,-193.8487153253108,8.161901950836182_1149.7400104999542_11.623730659484863,64.58593845367432_16855.968789100647_39.326427936553955,-193.16381265201127,-193.96541003245085
16,-193.09201959613995,-193.14234729138943,-193.61356335452564,-193.84853618417483,7.3117077350616455_2109.909941673279_11.71473240852356,62.56828236579895_5008.857804775238_37.5587739944458,-193.15956873113862,-193.97026159470607
17,-193.0905142487577,-193.12212823641988,-193.6246126597218,-193.8009542449689,7.587250709533691_1434.2199187278748_11.816401958465576,64.62533736228943_17773.926408290863_39.40886425971985,-193.13294610481339,-193.89368387712773
18,-193.0904033167584,-193.13905953320145,-193.6244754361204,-193.8544068459313,7.245059251785278_1644.7224428653717_11.735860347747803,62.55587840080261_8155.444891214371_38.30585956573486,-193.15570901607057,-193.97365300741214
19,-193.09024415780544,-193.12610628645308,-193.62435615288044,-193.8479003080577,7.552575588226318_920.0956523418427_11.887572050094604,62.47033476829529_13700.51012301445_40.88698482513428,-193.13837780981058,-193.96639459802384
