ID,HF_DZ,HF_TZ,CCSD_DZ,CCSD_TZ,CCSD(T)_DZ,CCSD(T)_TZ,Time_DZ,Time_TZ,HF_CBS,CCSD(T)_CBS
0,-193.1430651889154,-193.1909869095928,-193.860702666552,-194.0936965275261,-193.882800259199,-194.1262093295241,3.843168258666992_431.89581990242004_419.45587062835693,34.12764096260071_7309.795516014099_11615.951231002808,-193.20657183112522,-194.25602460949202
1,-193.14283048810287,-193.1907131320636,-193.8605335345047,-194.0933615302232,-193.8826472046233,-194.12589324228256,3.812747001647949_433.761727809906_417.3758382797241,34.85097408294678_5419.71213054657_11656.452873706818,-193.20628534521336,-194.25562338190468
2,-193.1414375659484,-193.1893081538246,-193.85930649551176,-194.0919604271849,-193.8814650447615,-194.12454526692167,3.8330628871917725_431.669646024704_418.69724202156067,34.37550354003906_5355.137744426727_11622.054676294327,-193.20487644614,-194.25418163849898
3,-193.1306489063132,-193.1783286268844,-193.8499698866107,-194.08152918213315,-193.87242464211005,-194.11445587465587,4.1401801109313965_341.7980887889862_421.029265165329,34.405731439590454_7295.433438539505_11655.792927265167,-193.19383484605362,-194.24352874105497
4,-193.1003786893652,-193.14755357699835,-193.8248637730217,-194.054312025053,-193.8481993068952,-194.08828080829585,4.254475355148315_543.562436580658_421.56655287742615,34.995275020599365_6024.114027261734_11658.794930696487,-193.16289561630057,-194.2163451883273
5,-192.9996193079798,-193.0459018418835,-193.74212337810377,-193.9683040997932,-193.76861754343696,-194.0058484980112,4.7217185497283936_463.85678219795227_420.8455057144165,39.01219868659973_8730.093625068665_11662.246318817139,-193.0609536732663,-194.13247842677575
6,-192.9482127854625,-192.99417043321768,-193.70513099469449,-193.9304122132678,-193.7350587888588,-193.9716538278152,5.399625062942505_561.9440588951111_421.8043441772461,43.55367732048035_9999.791873216629_11659.240624189377,-193.00911660635077,-194.09799635251463
7,-192.907039512096,-192.9528764614895,-193.6812600082136,-193.90563346236385,-193.7170553652876,-193.9530856504174,5.802699327468872_715.3965218067169_421.8358290195465,45.182562589645386_12599.888869524002_11664.372495174408,-192.96778338155593,-194.07912944431405
8,-192.85653775826307,-192.9026603409032,-193.6623779327971,-193.88596021747847,-193.71200377032508,-193.9481280083725,5.8901588916778564_595.725959777832_420.12816286087036,47.629053592681885_9542.128978967667_11582.509540319443,-192.9176601535384,-194.0741526890599
9,-192.8248064416624,-192.8711265577901,-193.6536556626695,-193.8766510541507,-193.7161319837177,-193.9525599804844,6.288019180297852_727.090339422226_420.90396308898926,49.69106841087341_12514.55436205864_11561.365550994873,-192.88619061152227,-194.07871097352975
10,-192.8049937634996,-192.85145814751635,-193.64977819454307,-193.872454390096,-193.72202995869503,-193.95889124040107,6.4330058097839355_762.8396348953247_421.08125615119934,51.46361756324768_12123.237957239151_11548.711175203323,-192.8665691195081,-194.0852580348655
11,-192.79140840654333,-192.83793445323016,-193.6478517578678,-193.87029746883863,-193.7271285222514,-193.9643798675554,6.899569749832153_923.370231628418_419.70510244369507,52.10625624656677_15354.454706907272_11574.178516864777,-192.8530654789233,-194.09095861231077
12,-192.7821962606265,-192.8287686092173,-193.64687861482813,-193.8691922069218,-193.7308848042728,-193.968463529651,6.675177097320557_837.0937926769257_418.62292194366455,58.57983732223511_16134.863450288773_11625.180029630661,-192.84391469304126,-194.09522157672072
13,-192.77534186645647,-192.82189950796823,-193.6462968288395,-193.868413095306,-193.73360635082724,-193.97132681393185,7.522646188735962_1125.447494506836_416.61318135261536,55.42586803436279_20943.046427965164_11671.732491970062,-192.83704080881134,-194.09817149440258
14,-192.77025427096748,-192.81688162900184,-193.64596314669268,-193.8681347338517,-193.73553949790863,-193.97355995879028,7.562074899673462_1080.4398198127747_418.17279505729675,62.02176022529602_15733.948730945587_11644.326897382736,-192.8320456027899,-194.10056187390663
15,-192.7661098328968,-192.81273650623947,-193.64582335953253,-193.86791498972525,-193.73704993540488,-193.9751789130981,8.202410459518433_1155.6377096176147_419.072158575058,63.82298302650452_19250.763315439224_11672.920547485352,-192.82790025735466,-194.1022444159461
16,-192.76262383994964,-192.80923501713383,-193.64539203666533,-193.8675186016339,-193.7379838769457,-193.97630504374249,7.55673623085022_653.3838694095612_415.7455599308014,60.826353311538696_17460.100736141205_11639.849368572235,-192.8243937286467,-194.10348686502985
17,-192.75860881137748,-192.80484650571907,-193.65259288350373,-193.8751055898198,-193.7369180803836,-193.97596486448904,7.742376327514648_545.8235104084015_418.99247002601624,64.41690731048584_15188.58281135559_11653.670460939407,-192.81988375454839,-194.10366746723022
18,-192.75559434883192,-192.80187674630744,-193.6523357419265,-193.87495021728003,-193.7375066966803,-193.9767413253208,6.6752893924713135_1080.153536081314_418.82588171958923,61.53552961349487_14945.95188331604_11643.38910484314,-192.81692853332157,-194.1045421089663
19,-192.75290017131937,-192.7991737321599,-193.65212014626732,-193.4846109536864,-193.73804176722143,-193.8828238643316,7.323186159133911_954.2237837314606_419.30616641044617,63.387391567230225_196781.7427482605_11665.52280831337,-192.81422264535686,-193.95543489306866
