ID,CASSCF_DZ,MRAQCC_DZ,Time_DZ
0,-248.289502089,-249.048860349931,18116.762
1,-248.284215290,-249.047749544355,17896.869
2,-248.308951080,-249.046058483408,14516.836
3,-248.288071561,-249.057189816155,14177.119
4,-248.288986778,-249.059394885727,13659.778
5,-248.325165601,-249.049303109229,18244.604
6,-248.300832549,-249.027548548782,14949.742
7,-248.258261534,-248.961417818872,17988.436
8,-248.185300021,-248.948564684480,18532.519
9,-248.173039341,-248.935555426586,10923.245
10,-248.148551473,-248.910547818659,21191.493
11,-248.150518854,-248.902159171369,22642.028
12,-248.150717965,-248.902381454802,18568.103
13,-248.150888845,-248.902640364605,18343.325
14,-248.151055261,-248.903012226264,19859.806
15,-248.142227829,-248.906275826983,18171.862
16,-248.151277066,-248.903805573167,24444.557
17,-248.140386861,-248.906668356682,16097.878
18,-248.148156492,-248.905552348524,19536.927
19,-248.107214550,-248.912732433075,17596.130
