ID,CASSCF_DZ,MRCISD_DZ,Time_DZ
0,-248.289492227,-249.029898179612,17970.250
1,-248.284207824,-249.028448300886,15862.753
2,-248.309017388,-249.028678790585,13130.821
3,-248.288051083,-249.037316512993,13734.880
4,-248.289084843,-249.038394287647,18515.403
5,-248.325171765,-249.033344316686,17882.799
6,-248.300830826,-249.010935551379,14366.088
7,-248.258263270,-248.945814204696,17597.453
8,-248.187987166,-248.926689051737,18473.603
9,-248.173022504,-248.914652848937,10331.298
10,-248.148564710,-248.889031722284,22637.871
11,-248.150498032,-248.882408428743,17877.555
12,-248.150720100,-248.882609805871,16548.738
13,-248.150878522,-248.882848475998,16494.488
14,-248.151053376,-248.883104562264,16037.066
15,-248.142232414,-248.885012695591,15201.257
16,-248.151274106,-248.883813037838,20776.582
17,-248.140369726,-248.885288353740,14888.897
18,-248.148082333,-248.884664737827,19504.524
19,-248.106299439,-248.887580718663,13101.966
