ID,CASSCF_DZ,CASSCF_TZ,NEVPT2_DZ,NEVPT2_TZ,Time_DZ,Time_TZ,CASSCF_CBS,NEVPT2_CBS
0,-248.2805127395547,-248.34131559449972,-249.01235857857048,-249.26885950805243,5.432460308074951_3327.2070779800415_14.357569456100464,73.01692605018616_62686.21847343445_64.9222629070282,-248.36212148870615,-249.4004250273635
1,-248.2780994338156,-248.33944812581203,-249.01091996354185,-249.30609614858605,5.233897924423218_2058.1782550811768_13.917442321777344,73.53951644897461_17803.2329955101_64.51138734817505,-248.36044079789193,-249.4594286279452
2,-248.27996105562747,-248.3503532519685,-249.01385278336363,-249.3294985993889,5.413332939147949_1794.7609331607819_13.829763174057007,73.6218056678772_30762.21190881729_64.56267094612122,-248.37444048588796,-249.49239250800898
3,-248.28452909233565,-248.34544521213203,-249.01888696843417,-249.3132432177594,5.650519847869873_3342.89235830307_13.931172370910645,72.90147876739502_29162.97062444687_64.99666142463684,-248.36628986400072,-249.46620844001274
4,-248.29371782552724,-248.3522125562816,-249.03204215334137,-249.3392140617929,5.6000964641571045_1887.2761280536652_13.978023767471313,73.26454520225525_12412.894236803055_64.67758464813232,-248.37222864238166,-249.4999744604724
5,-248.2823318312745,-248.32442062037467,-249.01517160538012,-249.28755359984564,5.568425416946411_3167.80100607872_14.698309659957886,75.37971329689026_39243.26236796379_65.97976803779602,-248.33882282063465,-249.43229529961664
6,-248.2702180176566,-248.2940502969466,-249.01226721073257,-249.27064449646204,6.031391620635986_2295.8434734344482_14.033192157745361,78.97721982002258_64930.46296334267_65.12486982345581,-248.3022053725932,-249.41154547185687
7,-248.2341685512996,-248.25041438864147,-248.93688273925792,-249.2106848290769,6.513731479644775_2597.6887295246124_14.265522480010986,82.4379768371582_39819.81465387344_65.06369018554688,-248.25597348900502,-249.36201354948003
8,-248.18019856273844,-248.23010990824645,-248.93290184108645,-249.20658652020248,6.495435476303101_3841.2748312950134_13.85053825378418,86.79732871055603_45699.29188108444_65.93006086349487,-248.2471888788849,-249.3503149256782
9,-248.15411464922047,-248.25360365226737,-248.8927700044676,-249.19652332541563,6.62692666053772_2521.513044834137_13.939409255981445,88.88820624351501_41173.524309158325_64.99887776374817,-248.28764741014632,-249.34617496204618
10,-248.15478716670427,-248.25277657160493,-248.90345151150947,-249.1804083296973,6.779309272766113_1855.842404127121_14.360285758972168,87.61614608764648_7058.495648145676_63.24324870109558,-248.28630718778336,-249.3152294856449
11,-248.15409316437567,-248.18946030995764,-248.87985995003703,-249.1386925893164,6.391787767410278_1519.6003665924072_13.800575733184814,86.22875213623047_39322.16723585129_64.97815203666687,-248.20156245697075,-249.27726994240558
12,-248.13588434025584,-248.2232471717994,-248.88368209326657,-249.16356156040715,6.502115964889526_1937.9849379062653_13.875186443328857,84.99124670028687_21864.86025905609_64.97688150405884,-248.25314152186428,-249.302414930307
13,-248.1152332767092,-248.17443899754588,-248.85197455656944,-249.1309184870832,6.44021201133728_1328.119257926941_13.846987247467041,86.3045756816864_37178.412241220474_64.88942003250122,-248.19469837459746,-249.27554353192477
14,-248.17786755912425,-248.2331826982528,-248.85480473099423,-249.13067632485985,6.35551381111145_2535.4720730781555_13.97295331954956,91.9042534828186_70117.8394472599_65.6870346069336,-248.25211077216912,-249.27443317033612
15,-248.1259923009545,-248.20320895891248,-248.8507741746366,-249.14285353434667,6.812612295150757_2017.4265100955963_14.229422807693481,90.4945981502533_25311.969245672226_64.02245116233826,-248.22963142900704,-249.29088227139783
16,-248.16615469692508,-248.15744563670137,-248.8435540448934,-249.1285610846421,6.256377696990967_627.8471953868866_13.87172245979309,84.06690502166748_54235.52852225304_72.79778599739075,-248.1544655170044,-249.29181604516816
17,-248.11164325148172,-248.20339872163464,-248.8379623475761,-249.12824026304787,6.386639356613159_842.7174170017242_13.865192413330078,85.30833339691162_29817.73313689232_64.3565776348114,-248.23479617174763,-249.27199585296577
18,-248.08701145013828,-248.14746734339656,-248.82340807938976,-249.1105959818536,6.035654067993164_2712.037615299225_15.551084756851196,78.8203136920929_24770.145590543747_65.01543092727661,-248.16815451212287,-249.25960711287877
19,-248.07944759350107,-248.14639370139545,-248.8337554438306,-249.1316368185112,6.040757894515991_1802.6656935214996_13.951202869415283,85.4456512928009_39666.41892743111_64.97710704803467,-248.16930173161285,-249.28524773700795
