ID,HF_DZ,HF_TZ,CCSD_DZ,CCSD_TZ,CCSD(T)_DZ,CCSD(T)_TZ,Time_DZ,Time_TZ,HF_CBS,CCSD(T)_CBS
0,-248.1888075887369,-248.247521246893,-249.09609275250537,-249.38898477709515,-249.12597655434672,-249.43232507418116,5.485617637634277_1362.1965334415436_1474.4384818077087,73.46249842643738_17274.43722319603_39717.02518105507,-248.26661588169134,-249.596121752675
1,-248.1862476970664,-248.24534521286333,-249.09368516972856,-249.38676509564493,-249.12361292851296,-249.43016197435296,5.352337121963501_979.8315944671631_1483.0890321731567,73.25398802757263_25441.215792179108_39845.74709177017,-248.2645646843981,-249.5939763622502
2,-248.18813768116777,-248.24725142922208,-249.09494518219125,-249.3882872220824,-249.12474513179043,-249.43152229001456,5.5125532150268555_1445.4650094509125_1483.0773735046387,73.36311602592468_17050.916098356247_39726.685277700424,-248.26647617975044,-249.59546576615887
3,-248.1927509268141,-248.2514275913449,-249.1001504398804,-249.39285845017508,-249.13007839996928,-249.43622212636177,5.483997583389282_970.1081206798553_1480.7212083339691,74.95709562301636_22759.532997369766_39719.07606768608,-248.2705101952158,-249.59990872240087
4,-248.19371503965175,-248.25243503164867,-249.1010562978583,-249.3941508486556,-249.1309562813624,-249.43748346375355,5.504727363586426_954.7570338249207_1471.7568969726562,73.12266159057617_22708.14163351059_39604.74799823761,-248.2715317263149,-249.6013829000429
5,-248.1904131422964,-248.24896672686276,-249.09843922788207,-249.39022161213336,-249.1285732421984,-249.4338095260755,5.6899027824401855_870.8865430355072_1482.4982357025146,70.95930671691895_22939.09916615486_39720.125118494034,-248.26800930313107,-249.5969977629857
6,-248.15727239047237,-248.21533119041723,-249.0710894756315,-249.36024369027172,-249.1031435497697,-249.4059477449487,5.91119909286499_1315.2397980690002_1472.5956592559814,78.26179528236389_24683.65766477585_39692.94136404991,-248.23421285469425,-249.5678430327334
7,-248.09545825200368,-248.15354389863464,-249.01040798977385,-249.29766437153185,-249.04586502718348,-249.34701038071623,6.120136260986328_1353.4807229042053_1477.648295879364,81.70180439949036_25452.88435959816_39704.22834801674,-248.1724342938898,-249.50792939056285
8,-248.07779207794349,-248.13603606961613,-248.9879713174979,-249.2749086579843,-249.02229449203583,-249.3231128761368,6.54780387878418_1854.5288951396942_1479.9332568645477,83.02129888534546_34985.62178730965_39730.94883060455,-248.15497796124944,-249.48379979548827
9,-248.0632834690528,-248.12174280795156,-248.9703548185425,-249.25744760503045,-249.0035942047559,-249.3045789402173,6.440771818161011_1709.7551259994507_1479.819734096527,84.68244457244873_32032.29936027527_39597.65766167641,-248.1407547339988,-249.46530726391885
10,-248.05099918284864,-248.10954369065743,-248.95621749962936,-249.24337828874727,-248.98870363657164,-249.2897656478972,6.482622146606445_2051.987124681473_1476.9141359329224,78.39738130569458_36956.52355527878_39868.37438702583,-248.12858331501684,-249.45051705771755
11,-248.04018798731255,-248.09874349012327,-248.9443852561932,-249.2314037995984,-248.97646677543895,-249.27738767684136,6.2505011558532715_2552.0108387470245_1476.5748898983002,86.00463533401489_58067.40817952156_39705.84949040413,-248.11778669023582,-249.43805378198272
12,-248.0318122388423,-248.0903569211832,-248.93550924833136,-249.22238518074084,-248.96750530739533,-249.2682892019874,6.224245548248291_2697.8900525569916_1472.7718966007233,90.82981419563293_46803.8329770565_39759.2967979908,-248.1093966023033,-249.42887805287447
13,-248.02435368997504,-248.0828830748058,-248.92776243606727,-249.2145419729412,-248.96025194482405,-249.2609197584377,6.445328950881958_3299.240653038025_1478.4022979736328,86.689617395401_73426.86125540733_40018.205229997635,-248.10191778092727,-249.4214447428852
14,-248.0175109089036,-248.0760153526452,-248.92110686620256,-249.20777964377345,-248.96769600884005,-249.26550420027263,6.629944801330566_10843.562729358673_1475.5507338047028,92.46299028396606_133032.36056017876_39774.14624142647,-248.09504194751955,-249.42436466635638
15,-248.011401012414,-248.0698866415015,-248.9139600064571,-249.20070452547813,-248.9450943483513,-249.2458420992833,6.663434028625488_19085.787254571915_1473.8218505382538,84.79299020767212_332898.6723937988_39832.56284713745,-248.08890711754492,-249.40642513200115
16,-248.00580372868103,-248.0642820028637,-248.9084464357108,-249.1951856051176,-248.93929986974317,-249.2399629135656,6.390780448913574_8957.429842948914_1474.2991189956665,84.96564435958862_190892.6838104725_39301.96059036255,-248.08330008697266,-249.40049835464634
17,-248.00070267101023,-248.059181024928,-248.90334609356825,-249.1900977078413,-248.9341618153854,-249.2348402968316,6.343839883804321_7918.7750453948975_1488.8153040409088,74.79241585731506_153231.4154689312_39922.02167677879,-248.0781991349681,-249.39538473801565
18,-247.9960208917425,-248.05449514312815,-248.89870554634027,-249.18544329127508,-248.929514458938,-249.23018810736093,6.168574094772339_5988.775075674057_1474.832388162613,85.46863389015198_120037.63538360596_39766.75901412964,-248.0735119189582,-249.3907307874824
19,-247.99167182452612,-248.05013896611132,-248.89442571688696,-249.18114882316505,-248.92523452718603,-249.22590227764735,5.856805801391602_16077.564516067505_1475.7248797416687,87.13137340545654_164396.40489435196_39732.475737571716,-248.06915342971885,-249.38644335366777
