ID,CASSCF_DZ,MRAQCC_DZ,Time_DZ
0,-79.310251779,-79.586723265402,229.892
1,-79.327201848,-79.581308985463,906.301
2,-79.317170669,-79.576287510580,423.171
3,-79.287617268,-79.533886524278,549.285
4,-79.213114566,-79.475297833278,280.8
5,-79.147713947,-79.422555244791,390.058
6,-79.149445912,-79.399531146269,476.654
7,-79.113330048,-79.368161143340,669.091
8,-79.105996686,-79.363704148515,604.170
9,-79.155760252,-79.400002294393,542.721
10,-79.166408114,-79.408994059431,535.816
11,-79.159925015,-79.415737832603,360.456
12,-79.172209733,-79.413557006578,636.092
13,-79.173045758,-79.414496079547,585.987
14,-79.173864488,-79.414669007927,570.852
15,-79.174324730,-79.414711400278,466.576
16,-79.161791158,-79.417412324427,345.531
17,-79.174867528,-79.415743084146,540.907
18,-79.175098930,-79.416222661766,583.988
19,-79.163443255,-79.418625322264,298.107
