ID,CASSCF_DZ,MRCISD_DZ,Time_DZ
0,-79.310251779,-79.590374898858,321.602
1,-79.327201848,-79.584681583564,807.944
2,-79.317170669,-79.579729124335,437.094
3,-79.287617268,-79.537141465713,612.721
4,-79.213114566,-79.478807595233,422.111
5,-79.147713947,-79.426233024227,386.334
6,-79.149445912,-79.402874536817,495.117
7,-79.113330048,-79.371482425897,710.014
8,-79.105996686,-79.367010566803,593.782
9,-79.155760252,-79.403148435424,583.534
10,-79.166408114,-79.412107882522,576.688
11,-79.159925015,-79.419023764187,389.816
12,-79.172209733,-79.416671193746,700.387
13,-79.173045758,-79.417600852526,625.627
14,-79.173864488,-79.417783053864,618.618
15,-79.174324730,-79.417848484330,521.691
16,-79.161791158,-79.420684365984,380.178
17,-79.174867528,-79.418846521337,535.477
18,-79.175098930,-79.419324842975,555.582
19,-79.163443255,-79.421871182075,313.950
