ID,CASSCF_DZ,CASSCF_TZ,NEVPT2_DZ,NEVPT2_TZ,Time_DZ,Time_TZ,CASSCF_CBS,NEVPT2_CBS
0,-79.33265301617517,-79.35793547593534,-79.54748709499368,-79.65722763166104,2.0239925384521484_330.7740662097931_8.874071836471558,5.390764236450195_915.9835197925568_15.760425329208374,-79.36658678323865,-79.71367984327799
1,-79.33222242933837,-79.35210172227411,-79.54663999217547,-79.65594975886974,2.3682873249053955_902.2124102115631_8.916984796524048,5.889915704727173_684.8748819828033_15.567386627197266,-79.35890414078051,-79.71336731893982
2,-79.32634489479395,-79.34614390336013,-79.54103133213682,-79.64933257512051,2.395820379257202_762.2884886264801_9.480826139450073,6.004194498062134_602.1332242488861_15.56942081451416,-79.35291884966806,-79.70619730554206
3,-79.28809482584603,-79.3048204705839,-79.49942790781145,-79.60451608373633,2.653413772583008_406.9460246562958_9.412268877029419,6.434459209442139_638.8938918113708_15.716639757156372,-79.31054375438801,-79.66025008354123
4,-79.23124202082181,-79.25756877862605,-79.44048397513909,-79.54773504214828,2.768479347229004_383.68915581703186_9.39197325706482,6.978409290313721_1430.207718372345_15.579736709594727,-79.26657743024562,-79.60254458460747
5,-79.1774600831759,-79.15884123272286,-79.38698193327878,-79.46779741423782,2.878126621246338_331.87412118911743_9.419791460037231,7.0918848514556885_639.8101718425751_15.80523681640625,-79.15247012016373,-79.51770334628321
6,-79.14945770939391,-79.14213826905049,-79.36675721211765,-79.44267959993292,2.8382227420806885_269.2550377845764_9.324697494506836,7.370587110519409_2635.264942884445_14.904133081436157,-79.13963365801581,-79.48728753050959
7,-79.12377521362643,-79.13572612752915,-79.33889138292898,-79.44093412566824,3.161545991897583_966.9497647285461_9.164299726486206,7.797840118408203_2579.6054153442383_15.192233562469482,-79.13981556462146,-79.49601301276171
8,-79.12167844880884,-79.1337759737228,-79.33471843696704,-79.43688194006165,3.828284978866577_344.1923429965973_9.09135389328003,8.87516188621521_804.7949004173279_14.72150206565857,-79.13791557907106,-79.4919963646644
9,-79.15577046035737,-79.17852877734688,-79.36797597301768,-79.47272659941896,3.758951187133789_940.1862070560455_9.059222221374512,8.623823881149292_2649.09991812706_14.885223865509033,-79.18631635797986,-79.52691952907442
10,-79.17455431197904,-79.18930329195041,-79.37978869432408,-79.48168029067638,3.5604050159454346_344.6778070926666_8.906906604766846,8.324618101119995_599.9403116703033_15.037503480911255,-79.19435018846892,-79.53604746560758
11,-79.18102848840729,-79.19585536704201,-79.38500614743249,-79.48536930745475,3.315735101699829_408.2510540485382_9.002466440200806,7.704015493392944_741.3802163600922_15.208237409591675,-79.20092891940341,-79.5388539976454
12,-79.17383936434595,-79.19519827901472,-79.38128689543626,-79.48642550450738,3.255591869354248_725.6213517189026_9.299279928207397,8.2974534034729_778.5584709644318_14.800109624862671,-79.20250700356992,-79.54115118789237
13,-79.18106498487802,-79.19598057754575,-79.3851229997807,-79.48679476361858,3.581141471862793_788.2671799659729_9.118780374526978,8.137994050979614_730.0802924633026_14.84042477607727,-79.20108448661962,-79.54100023394723
14,-79.17559604158754,-79.19698587744807,-79.38260698676008,-79.4877553732667,3.652482509613037_332.9409966468811_9.004997730255127,7.9961097240448_744.8805139064789_14.946298599243164,-79.20430518280651,-79.54247967068149
15,-79.17456641583375,-79.1976067307161,-79.38267008166807,-79.48834628677314,3.554861068725586_364.6563823223114_8.98050856590271,8.166035175323486_718.3785462379456_14.82841944694519,-79.2054908071194,-79.54299996089944
16,-79.17488238655093,-79.19809140582845,-79.3829500064886,-79.4875276615888,3.6077423095703125_271.50131487846375_9.015852451324463,8.231786966323853_696.2505156993866_15.219486236572266,-79.20603321053747,-79.54152183354938
17,-79.17515366301403,-79.20623864110865,-79.38319061435291,-79.49137472615759,3.499467611312866_270.33329677581787_8.96562910079956,8.67674446105957_1038.7703630924225_14.829377174377441,-79.21687548976044,-79.54564752353204
18,-79.18323943950762,-79.20640080201473,-79.38712810912824,-79.49148418871182,3.6192808151245117_1709.7005355358124_9.327873229980469,8.737720966339111_2703.1134860515594_15.412150382995605,-79.21432629923746,-79.5453636200504
19,-79.18341192034377,-79.20009273830469,-79.38729191932542,-79.48825366693598,3.8565211296081543_971.1188135147095_9.08229684829712,8.658719778060913_1047.7973301410675_15.102625131607056,-79.20580068300706,-79.54166225556932
