ID,HF_DZ,HF_TZ,CCSD_DZ,CCSD_TZ,CCSD(T)_DZ,CCSD(T)_TZ,Time_DZ,Time_TZ,HF_CBS,CCSD(T)_CBS
0,-79.23725235944457,-79.26030556793599,-79.59298819020368,-79.70467160806975,-79.60275659463728,-79.71899137658338,2.1722755432128906_31.54255223274231_13.369235038757324,3.906693458557129_317.555184841156_238.59983921051025,-79.26780284558652,-79.78093803192762
1,-79.23513998625208,-79.25768536020065,-79.59191795125544,-79.70249025394797,-79.6018398133296,-79.71698193891324,2.3646981716156006_31.28313374519348_13.219156742095947,4.634445428848267_277.57291197776794_238.48097586631775,-79.26501748181359,-79.77842170559015
2,-79.22799780353321,-79.24983549300612,-79.58653628608924,-79.69562181851057,-79.59670599379614,-79.71039356589097,2.360491991043091_31.392404794692993_13.36339545249939,4.246049880981445_318.4954643249512_238.4546022415161,-79.2569374641389,-79.77116675939732
3,-79.17810882242728,-79.19882376070692,-79.54269697332569,-79.6490110651209,-79.55377454460609,-79.66478088320453,2.548868179321289_35.78799748420715_13.432129144668579,4.491729021072388_352.58326053619385_236.12391233444214,-79.20556059492475,-79.72427826198265
4,-79.10739112239236,-79.1279654985901,-79.48101409528682,-79.58613643350961,-79.4940318755166,-79.60395315105066,2.79671573638916_46.15624499320984_13.59634017944336,5.2341649532318115_454.86930775642395_236.54116082191467,-79.134656619737,-79.66285291052982
5,-79.04147453728851,-79.06256347452532,-79.4224757105952,-79.52773491337477,-79.43965202149946,-79.54995131661813,2.6740477085113525_38.25152015686035_13.433786153793335,4.738365173339844_424.3069396018982_236.42467403411865,-79.06942193927559,-79.60893863356968
6,-79.0162628950271,-79.03706127519084,-79.39911748125648,-79.50353354758646,-79.41944734256322,-79.52916989596247,3.034228563308716_39.05274415016174_13.539242267608643,5.155153751373291_511.81058645248413_238.39323782920837,-79.04382524606399,-79.5878954909539
7,-78.98512141950215,-79.00612760615687,-79.3646983023758,-79.46928093447357,-79.38858795762374,-79.49895875813168,3.2711353302001953_73.83531379699707_13.330357789993286,5.7789716720581055_616.641434431076_238.93922877311707,-79.01295915907444,-79.55800930061712
8,-78.95120532730894,-78.97244881161086,-79.30095003181616,-79.40471046776922,-79.31311931079776,-79.42110544629887,3.754298210144043_78.90877628326416_13.559900283813477,6.393750190734863_731.9428293704987_238.03977060317993,-78.97935753757564,-79.47870105382394
9,-78.95737034583759,-78.97882394190525,-79.29508396311887,-79.39963169426235,-79.3057464233992,-79.41432259725512,3.760805368423462_99.69590973854065_13.37358570098877,6.271379232406616_1061.8163511753082_237.22059512138367,-78.98580099962723,-79.4722085414422
10,-78.9612371300417,-78.98280299577542,-79.29228681543059,-79.39704726557623,-79.30289254832446,-79.41160825572754,3.5133774280548096_115.73037981987_13.491692066192627,6.594985723495483_1569.1068675518036_248.05034947395325,-78.9898165654154,-79.46954664310856
11,-78.96334674725762,-78.98486953006622,-79.39885063180371,-79.50126964481403,-79.53660736814057,-79.65401394490304,3.2805159091949463_47.23102831840515_13.142285823822021,5.708847522735596_453.2527952194214_237.82366466522217,-78.99186908843954,-79.71704188655153
12,-78.95494146891667,-78.976577554136,-79.39724136451787,-79.38693091941593,-79.60066160621936,-79.40156533424606,3.619581699371338_74.71892237663269_13.284739017486572,5.880948066711426_1209.9084379673004_235.7597849369049,-78.98361396029266,-79.27961980716833
13,-78.94764057561338,-78.96923690853086,-79.27513498063529,-79.37955849784476,-79.28630717570957,-79.39457822540895,3.534966230392456_95.66874313354492_13.384656190872192,6.0422656536102295_1299.3194801807404_238.31871151924133,-78.97626038659361,-79.45224888848462
14,-78.9420153557212,-78.96374165722696,-79.26835261055098,-79.37291117620477,-79.28004532471152,-79.38838007587826,3.4410812854766846_93.07781934738159_13.521595239639282,6.074070930480957_1712.6520133018494_236.02945280075073,-78.97080740318455,-79.4460542845632
15,-78.93662279376802,-78.95845143580921,-79.26175241216912,-79.36640253631043,-79.2744507946973,-79.38275261629,3.399570941925049_135.91930079460144_13.612486362457275,5.955069541931152_1283.1357219219208_236.31554889678955,-78.96555046457033,-79.44038106454056
16,-78.93184424126905,-78.95368901986926,-79.39988766945862,-79.50211474275055,-79.58666715413977,-79.70832019931575,3.7396466732025146_91.99872541427612_13.281603336334229,6.020009279251099_830.0129249095917_235.84921193122864,-78.96079329650135,-79.77374607111153
17,-78.92759410121957,-78.94941152150201,-79.25254457900625,-79.35691277318612,-79.27181051350459,-79.37894643779946,3.744739055633545_254.75196814537048_13.449241161346436,6.525282859802246_2018.479782819748_234.97428131103516,-78.956506900765,-79.43589651769696
18,-78.92377406658596,-78.9455210798927,-79.24904858061743,-79.35313848447223,-79.28074943805953,-79.38569161955525,3.858597755432129_226.77170062065125_13.31050705909729,6.919210910797119_1614.6145558357239_237.09238123893738,-78.9525935616642,-79.44137805972076
19,-78.92027629298283,-78.94191230535512,-79.40063687545423,-79.35014981360709,-79.56949081272825,-79.41709101755312,3.8577351570129395_205.4648826122284_13.222078084945679,6.413607120513916_3154.3112785816193_238.53619289398193,-78.94894868782075,-79.32243195674542
