ID,CASSCF_DZ,MRAQCC_DZ,Time_DZ
0,-169.095047302,-169.490490558749,430.831
1,-169.095056125,-169.490179197525,496.765
2,-169.098730709,-169.483165685658,991.638
3,-169.089571594,-169.473703319706,1009.104
4,-169.047871386,-169.455304136211,1014.331
5,-168.955799220,-169.326271245791,1584.324
6,-168.900302013,-169.299764795744,2079.659
7,-169.025195731,-169.421174336421,1150.449
8,-169.050295130,-169.446678847734,911.066
9,-169.054950544,-169.450504951480,792.144
10,-169.054666029,-169.450667447251,812.969
11,-169.042752744,-169.438945038365,833.475
12,-168.936836929,-169.328834623241,1281.195
13,-168.883773904,-169.287700176290,2425.394
14,-168.876668215,-169.283557739245,3032.095
15,-168.882003273,-169.276405361351,6091.141
16,-168.879106053,-169.279698342662,1475.708
17,-168.886804112,-169.277322632964,1811.150
18,-168.876677134,-169.276886424289,1386.608
19,-168.877986259,-169.279168706415,1457.208
