ID,CASSCF_DZ,MRCISD_DZ,Time_DZ
0,-169.095047302,-169.492940719239,458.065
1,-169.095056125,-169.492636804846,524.001
2,-169.098730709,-169.485779046412,1098.785
3,-169.089571594,-169.476300921287,1100.564
4,-169.047871386,-169.457896916761,1083.131
5,-168.949504576,-169.327683412284,1317.585
6,-168.900302013,-169.302259879518,2103.476
7,-169.025195731,-169.423765113851,1286.074
8,-169.050295130,-169.449188189406,976.503
9,-169.054950544,-169.453005257259,860.651
10,-169.054666029,-169.453140468992,886.643
11,-169.042752744,-169.441371650525,957.175
12,-168.936836929,-169.331263489314,1431.790
13,-168.883773904,-169.289963836181,2570.240
14,-168.876668215,-169.284301867844,2656.541
15,-168.877004515,-169.284987405727,1265.785
16,-168.878811239,-169.282217110261,1271.785
17,-168.886804112,-169.279489099833,2146.040
18,-168.876806533,-169.278926656113,1324.085
19,-168.878014848,-169.281086404151,1389.885
