ID,CASSCF_DZ,CASSCF_TZ,NEVPT2_DZ,NEVPT2_TZ,Time_DZ,Time_TZ,CASSCF_CBS,NEVPT2_CBS
0,-169.11048957132442,-169.16117515221302,-169.4219326738372,-169.63792950076655,3.438321113586426_4069.7571732997894_9.82836103439331,5.967602252960205_2886.093097448349_14.622953414916992,-169.17851905546746,-169.74883493588777
1,-169.12053886128004,-169.13239932338064,-169.46052870786528,-169.64161216395016,3.1229183673858643_1105.4912815093994_9.631283283233643,6.032483816146851_1949.6131436824799_14.865605592727661,-169.13645780911995,-169.74144612125266
2,-169.1162661011598,-169.15059181017,-169.45622609011454,-169.60356001684673,3.423577070236206_583.3219225406647_9.870052576065063,6.669695138931274_2917.468894481659_13.95107650756836,-169.16233759202308,-169.67926528250285
3,-169.08699198362072,-169.10858227247246,-169.45770246119685,-169.5798244347701,3.4134299755096436_1343.353887796402_9.185546159744263,6.570480108261108_2617.2140786647797_13.97668743133545,-169.11597017006613,-169.6441104481845
4,-169.0737488326066,-169.0877505276828,-169.42054929346736,-169.57064691212562,3.251751661300659_916.0269076824188_9.10930871963501,6.5986738204956055_3537.517961740494_14.018427610397339,-169.0925417136679,-169.65246457632156
5,-168.9558949913951,-168.96096749796902,-169.2908406879332,-169.47472076130265,4.052571058273315_486.79753589630127_9.093518495559692,7.709483623504639_3566.500692129135_13.871906042098999,-168.96270323941133,-169.5776565738801
6,-168.89407043692944,-168.9409055360025,-169.26306611966106,-169.46748483963978,4.10486364364624_1048.3374831676483_9.173391580581665,7.366669416427612_2746.933972120285_13.977499723434448,-168.95693185774914,-169.57269907401889
7,-169.02529095973702,-169.04928575874715,-169.40209029101445,-169.52098407848294,3.112243175506592_1088.841346502304_9.090574741363525,6.3957741260528564_3085.3303253650665_13.930751085281372,-169.05749644638937,-169.58290493373582
8,-169.05040430096636,-169.09508094256384,-169.42558039594738,-169.61254873606674,3.1815428733825684_919.1830887794495_9.17628788948059,6.20749831199646_5011.211943387985_13.926740884780884,-169.11036867007957,-169.70836957675223
9,-169.07918676125078,-168.99802993100755,-169.4121392234417,-169.59884991841597,3.163623809814453_1287.330486536026_9.195444345474243,6.451481342315674_4312.2826635837555_14.355193376541138,-168.9702591885696,-169.72268468738125
10,-169.07884148496956,-169.09953396028686,-169.41196263055954,-169.6155640132663,3.200401782989502_1614.3529369831085_9.13210153579712,6.242392063140869_2257.122577190399_14.365254878997803,-169.10661463853316,-169.7261660064703
11,-169.042837202993,-169.1093368696802,-169.4177155813797,-169.57917394088784,3.4088635444641113_196.5531530380249_9.079304933547974,6.110373497009277_3782.9070982933044_14.058961391448975,-169.13209213390434,-169.65567316371846
12,-168.93690058358416,-168.97764918092935,-169.31229252524363,-169.4935352985264,3.606706142425537_858.847647190094_9.223981142044067,6.816617488861084_2117.56556224823_14.227296590805054,-168.99159278614644,-169.58699466951205
13,-168.89699150877297,-168.92342392743737,-169.24978967900293,-169.45245899064813,4.596673488616943_396.4974567890167_9.142333507537842,8.544012784957886_2211.16930603981_14.077888488769531,-168.93246873473876,-169.56124893975712
14,-168.87721842313522,-168.9426718411252,-169.244276298916,-169.41836059491715,5.13209867477417_1518.1979100704193_9.46562385559082,9.31962537765503_4862.588428020477_14.125445127487183,-168.96506909354667,-169.50223987955474
15,-168.8803924749464,-168.95653036014696,-169.27266195644745,-169.41534374475052,5.401993274688721_1310.0039281845093_9.202123880386353,10.302139282226562_4549.149984121323_14.000278949737549,-168.98258368915623,-169.4790590578037
16,-168.921779077847,-168.95223286219272,-169.24607519508507,-169.42353920570642,5.981050729751587_1951.7881696224213_9.125487089157104,11.741381645202637_3279.371584892273_14.066900968551636,-168.96265372509225,-169.51716373623205
17,-168.9126089629104,-168.94068959837813,-169.24264264814863,-169.4214096322903,7.212469816207886_1166.7300662994385_9.204480648040771,12.743313550949097_1867.825442314148_14.34265947341919,-168.95029840262458,-169.51630268640488
18,-168.91945898391342,-168.9612207309562,-169.24369446287662,-169.41949078742178,6.1301939487457275_987.7997951507568_9.184282064437866,16.49342703819275_2350.5063757896423_14.036598443984985,-168.97551102195706,-169.50964089252838
19,-168.9130760539413,-168.86813695156658,-169.24318983544853,-169.3168718274692,7.252518892288208_1061.1011085510254_9.188849925994873,13.458541631698608_7078.413950920105_14.320919036865234,-168.85275941361073,-169.3686305041942
