ID,CASSCF_DZ,MRAQCC_DZ,Time_DZ
0,-322.050506487,-322.931679731566,19625.927
1,-322.047136803,-322.948106218802,20456.984
2,-322.044460341,-322.947632765454,18348.431
3,-322.027311815,-322.942114758216,18817.467
4,-322.036857886,-322.947335494715,18801.075
5,-322.030989536,-322.958721091429,12951.360
6,-322.005211710,-322.929357259971,20907.063
7,-322.016133643,-322.932213924181,26578.864
8,-322.039910353,-322.930718768385,32029.828
9,-322.044806012,-322.929307081963,30518.611
10,-322.034724815,-322.926222547176,31988.583
11,-322.023217346,-322.937631377680,28465.966
12,-322.034389801,-322.924659215263,33370.898
13,-322.020941917,-322.935999932118,26840.623
14,-321.968911905,-322.838550556192,35326.404
15,-321.914384485,-322.791469508250,25850.726
16,-321.805730996,-322.709366349869,31323.035
17,-321.936508154,-322.784198113215,19309.717
18,-321.881799540,-322.794515569493,24789.890
19,-321.897548005,-322.796250311453,36340.496
