ID,HF_DZ,HF_TZ,CCSD_DZ,CCSD_TZ,CCSD(T)_DZ,CCSD(T)_TZ,Time_DZ,Time_TZ,HF_CBS,CCSD(T)_CBS
0,-321.9171708564758,-321.99247034000126,-322.98287446386706,-323.3399250014796,-323.0217653969327,-323.39582504538936,6.372949123382568_1565.9932854175568_2261.857935190201,81.57255983352661_26885.97008562088_57650.22332429886,-322.0169589544664,-323.5948900750949
1,-321.9303738604849,-322.0092299161121,-322.9892848529892,-323.34587222358624,-323.02859084226264,-323.40208109176234,6.141871929168701_1594.587539434433_2272.7566614151,82.71226406097412_19810.807458639145_57569.92124271393,-322.03487518556267,-323.59989182170983
2,-321.9267976815024,-322.00588865678617,-322.98469867479434,-323.34119167392134,-323.0237552900794,-323.3971777081442,6.4838902950286865_1602.909613609314_2276.145649909973,81.8549735546112_23237.564880371094_57530.66777443886,-322.03161032592277,-323.59488792931916
3,-321.91786539920616,-321.9967556780616,-322.97912682411385,-323.3361900384129,-323.0187822780751,-323.39279072671826,6.646423101425171_1463.0421104431152_2272.642941713333,82.74595355987549_20773.909051179886_57573.02977204323,-322.0224120774616,-323.5908953913202
4,-321.9264499728445,-322.0054612347868,-322.98542322818133,-323.3421096500921,-323.02462956114584,-323.398221317572,6.652557134628296_1605.0830383300781_2266.432341337204,82.42439937591553_23214.798916101456_57701.923328876495,-322.0311569798507,-323.59605114462966
5,-321.9340209389377,-322.01292082253303,-322.9915274091037,-323.3476360461688,-323.0305451647796,-323.403545779823,6.229193210601807_1563.4051933288574_2260.390877008438,70.3623514175415_19653.55101466179_57434.041066646576,-322.0385803455504,-323.6010590418674
6,-321.9034128159404,-321.9817203303481,-322.9691079633614,-323.32619529323495,-323.01006375175393,-323.384172725957,6.5535666942596436_1289.3855998516083_2262.846192598343,82.1163444519043_22204.236448526382_57691.09849023819,-322.007187205289,-323.58248713726823
7,-321.9176683731765,-321.99490726502097,-322.97784333330543,-323.3363245572275,-323.0157948279713,-323.3911609790416,6.4935994148254395_1566.4386665821075_2261.389716386795,86.81143188476562_24560.88298177719_57536.215002298355,-322.02002660655614,-323.5904869060266
8,-321.92538019887826,-322.0029363450947,-322.98397080769115,-323.3422053661077,-323.02177376671057,-323.39687793558124,6.3809733390808105_1776.869623184204_2268.17512178421,81.99663162231445_31768.493290424347_57377.57567334175,-322.028158862902,-323.59596856987184
9,-321.9238748240954,-322.0014366964596,-322.98255341158983,-323.3407089914901,-323.0203941907591,-323.39542647762283,6.424569845199585_1762.9938504695892_2258.4717061519623,83.46854209899902_31668.321220874786_57674.57902264595,-322.02666107650305,-323.5944736248861
10,-321.9202171621337,-321.99784181416686,-322.9789939939959,-323.33759723708465,-323.0168100528004,-323.39229927082755,6.579523801803589_1764.5518095493317_2263.7761147022247,78.9341402053833_28152.936084985733_57601.94122171402,-322.02308661117786,-323.59159715209205
11,-321.9249556574096,-322.0023912158135,-322.9839725784095,-323.3421261918931,-323.0218406909118,-323.39686523473625,6.14837908744812_1857.8454265594482_2270.618837594986,77.49334454536438_31629.540283203125_57358.70657444,-322.0275745165065,-323.59594058794477
12,-321.919639951582,-321.9971459284517,-322.97884673759216,-323.3373191737996,-323.01668940079634,-323.3920388394262,6.4233362674713135_1824.4362909793854_2269.5273082256317,84.14511322975159_31651.635715961456_57694.170810461044,-322.0223521303729,-323.5912857936306
13,-321.9225464473651,-322.00010696516324,-322.9814926280076,-323.3393579445014,-323.01935535177546,-323.39409647569244,6.501161098480225_1634.412484407425_2271.3183290958405,83.30448913574219_31695.606632232666_57653.0543525219,-322.02533090467983,-323.5929738368663
14,-321.8090762127051,-321.8852119612941,-322.8878606396527,-323.23681026106254,-322.931015667614,-323.29734050184265,7.209967136383057_1615.088496685028_2263.2623035907745,93.10089230537415_33069.68328046799_57638.73716545105,-321.90997254273395,-323.4916691055941
15,-321.6644762184386,-321.7407335430636,-322.7942691167057,-323.13992238720294,-322.86777100110925,-323.232015470583,7.948925256729126_2090.272390604019_2269.0035099983215,104.64439487457275_35288.18795585632_57247.866495370865,-321.7655336630041,-323.42509693885717
16,-321.4956374558485,-321.57313693816,-322.7025563879742,-323.04851236129184,-322.8174304211896,-323.1851791325064,8.3628249168396_3056.6412682533264_2267.7672851085663,106.64892721176147_41270.28936314583_57437.68455219269,-321.5983410279455,-323.3799863885563
17,-321.61336847775544,-321.6896906723051,-322.77601680067704,-323.1198653897659,-322.8801773312358,-323.24313413560026,9.774531364440918_3106.0488595962524_2272.7455439567566,120.79092597961426_52280.49230003357_57771.90045976639,-321.71451188899823,-323.43544636528304
18,-321.6825700546857,-321.760384807492,-322.7400952206865,-323.09056490469925,-322.7820001468724,-323.1489293972608,9.735954284667969_3829.68780374527_2264.251383304596,117.03219318389893_79121.77532410622_57730.04454112053,-321.78569142836056,-323.3431761196102
19,-321.7008295768681,-321.7786522642713,-322.7574324851092,-323.1068320830275,-322.7991357127542,-323.16446092948047,8.825162172317505_6208.261281251907_2263.129287004471,111.42681503295898_117883.60023450851_57753.47781085968,-321.8039614655995,-323.35776830068966
