Ansatz,System,Fine-tune step,Geometry,E
orbformer_finetune_joint_tm_512k,C2H4,0,0,-78.53111404571533+/-0
orbformer_finetune_joint_tm_512k,C2H4,0,1,-78.56930246200561+/-0
orbformer_finetune_joint_tm_512k,C2H4,0,2,-78.51649080340067+/-0
orbformer_finetune_joint_tm_512k,C2H4,0,3,-78.08386412111918+/-0
orbformer_finetune_joint_tm_512k,C2H4,0,4,-78.51477446015905+/-0
orbformer_finetune_joint_tm_512k,C2H4,0,5,-78.52679081720046+/-0
orbformer_finetune_joint_tm_512k,C2H4,0,6,-78.05338838310541+/-0
orbformer_finetune_joint_tm_512k,C2H4,0,7,-78.54563515287917+/-0
orbformer_finetune_joint_tm_512k,C2H4,0,8,-78.5353609661948+/-0
orbformer_finetune_joint_tm_512k,C2H4,0,9,-78.54163866606731+/-0
orbformer_finetune_joint_tm_512k,C2H4,250,0,-78.5572795879364+/-0
orbformer_finetune_joint_tm_512k,C2H4,250,1,-78.56572353299458+/-0
orbformer_finetune_joint_tm_512k,C2H4,250,2,-78.51463096834819+/-0
orbformer_finetune_joint_tm_512k,C2H4,250,3,-78.49354053840638+/-0
orbformer_finetune_joint_tm_512k,C2H4,250,4,-78.51114076019817+/-0
orbformer_finetune_joint_tm_512k,C2H4,250,5,-78.52508274290025+/-0
orbformer_finetune_joint_tm_512k,C2H4,250,6,-78.53572055333002+/-0
orbformer_finetune_joint_tm_512k,C2H4,250,7,-78.54256490784552+/-0
orbformer_finetune_joint_tm_512k,C2H4,250,8,-78.5328059875352+/-0
orbformer_finetune_joint_tm_512k,C2H4,250,9,-78.53801912224894+/-0
orbformer_finetune_joint_tm_512k,C2H4,1000,0,-78.55361445592244+/-0
orbformer_finetune_joint_tm_512k,C2H4,1000,1,-78.56294485727946+/-0
orbformer_finetune_joint_tm_512k,C2H4,1000,2,-78.51278958066304+/-0
orbformer_finetune_joint_tm_512k,C2H4,1000,3,-78.4896153483073+/-0
orbformer_finetune_joint_tm_512k,C2H4,1000,4,-78.50759114646743+/-0
orbformer_finetune_joint_tm_512k,C2H4,1000,5,-78.52209919822516+/-0
orbformer_finetune_joint_tm_512k,C2H4,1000,6,-78.53110582442+/-0
orbformer_finetune_joint_tm_512k,C2H4,1000,7,-78.53968511996054+/-0
orbformer_finetune_joint_tm_512k,C2H4,1000,8,-78.52935230350879+/-0
orbformer_finetune_joint_tm_512k,C2H4,1000,9,-78.5353734373645+/-0
orbformer_finetune_joint_tm_512k,C2H4,4000,0,-78.55941221593221+/-0
orbformer_finetune_joint_tm_512k,C2H4,4000,1,-78.5668005742391+/-0
orbformer_finetune_joint_tm_512k,C2H4,4000,2,-78.51779567743937+/-0
orbformer_finetune_joint_tm_512k,C2H4,4000,3,-78.49580738550821+/-0
orbformer_finetune_joint_tm_512k,C2H4,4000,4,-78.51325485729734+/-0
orbformer_finetune_joint_tm_512k,C2H4,4000,5,-78.52845681964776+/-0
orbformer_finetune_joint_tm_512k,C2H4,4000,6,-78.53799196188385+/-0
orbformer_finetune_joint_tm_512k,C2H4,4000,7,-78.54364787839441+/-0
orbformer_finetune_joint_tm_512k,C2H4,4000,8,-78.53451509576483+/-0
orbformer_finetune_joint_tm_512k,C2H4,4000,9,-78.54045424751769+/-0
orbformer_finetune_joint_tm_512k,C2H4,8000,0,-78.56077480112711+/-0
orbformer_finetune_joint_tm_512k,C2H4,8000,1,-78.56814980417887+/-0
orbformer_finetune_joint_tm_512k,C2H4,8000,2,-78.51930218200684+/-0
orbformer_finetune_joint_tm_512k,C2H4,8000,3,-78.49766365687053+/-0
orbformer_finetune_joint_tm_512k,C2H4,8000,4,-78.5144577199303+/-0
orbformer_finetune_joint_tm_512k,C2H4,8000,5,-78.52974516623922+/-0
orbformer_finetune_joint_tm_512k,C2H4,8000,6,-78.53900682191241+/-0
orbformer_finetune_joint_tm_512k,C2H4,8000,7,-78.54510606983729+/-0
orbformer_finetune_joint_tm_512k,C2H4,8000,8,-78.53581026960339+/-0
orbformer_finetune_joint_tm_512k,C2H4,8000,9,-78.54084999333453+/-0
orbformer_finetune_joint_tm_512k,C2H4,16000,0,-78.56167193895976+/-0
orbformer_finetune_joint_tm_512k,C2H4,16000,1,-78.56940393180847+/-0
orbformer_finetune_joint_tm_512k,C2H4,16000,2,-78.52004557317098+/-0
orbformer_finetune_joint_tm_512k,C2H4,16000,3,-78.49810017623902+/-0
orbformer_finetune_joint_tm_512k,C2H4,16000,4,-78.515296935908+/-0
orbformer_finetune_joint_tm_512k,C2H4,16000,5,-78.53076172472646+/-0
orbformer_finetune_joint_tm_512k,C2H4,16000,6,-78.54006256753043+/-0
orbformer_finetune_joint_tm_512k,C2H4,16000,7,-78.54587312376431+/-0
orbformer_finetune_joint_tm_512k,C2H4,16000,8,-78.53614547148622+/-0
orbformer_finetune_joint_tm_512k,C2H4,16000,9,-78.54130317603808+/-0
orbformer_finetune_joint_tm_512k,C2H4,32000,0,-78.56193582356771+/-0
orbformer_finetune_joint_tm_512k,C2H4,32000,1,-78.56997727762858+/-0
orbformer_finetune_joint_tm_512k,C2H4,32000,2,-78.52043416989645+/-0
orbformer_finetune_joint_tm_512k,C2H4,32000,3,-78.49908983942667+/-0
orbformer_finetune_joint_tm_512k,C2H4,32000,4,-78.51592144671832+/-0
orbformer_finetune_joint_tm_512k,C2H4,32000,5,-78.53109777603756+/-0
orbformer_finetune_joint_tm_512k,C2H4,32000,6,-78.54083836043874+/-0
orbformer_finetune_joint_tm_512k,C2H4,32000,7,-78.54656965293599+/-0
orbformer_finetune_joint_tm_512k,C2H4,32000,8,-78.53676632729494+/-0
orbformer_finetune_joint_tm_512k,C2H4,32000,9,-78.54172331600405+/-0
orbformer_finetune_joint_tm_512k,C3H4,0,0,-115.92478415328122+/-0
orbformer_finetune_joint_tm_512k,C3H4,0,1,-115.46253266221392+/-0
orbformer_finetune_joint_tm_512k,C3H4,0,2,-115.31765035341104+/-0
orbformer_finetune_joint_tm_512k,C3H4,0,3,-116.20640122513615+/-0
orbformer_finetune_joint_tm_512k,C3H4,0,4,-115.03666901974886+/-0
orbformer_finetune_joint_tm_512k,C3H4,0,5,-115.97985141101404+/-0
orbformer_finetune_joint_tm_512k,C3H4,0,6,-115.75047386017522+/-0
orbformer_finetune_joint_tm_512k,C3H4,0,7,-115.25236594665161+/-0
orbformer_finetune_joint_tm_512k,C3H4,0,8,-115.50165260731063+/-0
orbformer_finetune_joint_tm_512k,C3H4,0,9,-115.84790095415649+/-0
orbformer_finetune_joint_tm_512k,C3H4,250,0,-116.56852996253967+/-0
orbformer_finetune_joint_tm_512k,C3H4,250,1,-116.545815741539+/-0
orbformer_finetune_joint_tm_512k,C3H4,250,2,-116.51866021060944+/-0
orbformer_finetune_joint_tm_512k,C3H4,250,3,-116.55257361412049+/-0
orbformer_finetune_joint_tm_512k,C3H4,250,4,-116.49920011871673+/-0
orbformer_finetune_joint_tm_512k,C3H4,250,5,-116.55209837404614+/-0
orbformer_finetune_joint_tm_512k,C3H4,250,6,-116.50830377239151+/-0
orbformer_finetune_joint_tm_512k,C3H4,250,7,-116.51061231755997+/-0
orbformer_finetune_joint_tm_512k,C3H4,250,8,-116.44789453629163+/-0
orbformer_finetune_joint_tm_512k,C3H4,250,9,-116.56724131695312+/-0
orbformer_finetune_joint_tm_512k,C3H4,1000,0,-116.57648478126526+/-0
orbformer_finetune_joint_tm_512k,C3H4,1000,1,-116.562492354393+/-0
