,geometry,dataset,finetuning,pretraining,rmean
0,0,Reference,0,0,-100.3792953491211
1,1,Reference,0,0,-100.37855529785156
2,2,Reference,0,0,-100.37504577636719
3,3,Reference,0,0,-100.36514282226562
4,4,Reference,0,0,-100.35298156738281
5,0,OC1,4,400000,-100.35384168497721
6,1,OC1,4,400000,-100.35291071065267
7,2,OC1,4,400000,-100.3493187866211
8,3,OC1,4,400000,-100.33652124328613
9,4,OC1,4,400000,-100.31831334632052
10,0,OC1,32,400000,-100.37022020467123
11,1,OC1,32,400000,-100.36966259358724
12,2,OC1,32,400000,-100.36653864949544
13,3,OC1,32,400000,-100.35620979614258
14,4,OC1,32,400000,-100.34244203853645
15,0,OC1,1,400000,-100.3493169708252
16,1,OC1,1,400000,-100.34789956359863
17,2,OC1,1,400000,-100.3443943939209
18,3,OC1,1,400000,-100.3304870707194
19,4,OC1,1,400000,-100.31059625699116
20,0,OC1,2,400000,-100.35071837463379
21,1,OC1,2,400000,-100.34959148559571
22,2,OC1,2,400000,-100.34644207560221
23,3,OC1,2,400000,-100.33272012329101
24,4,OC1,2,400000,-100.31253998641063
25,0,OC1,8,400000,-100.36124550069174
26,1,OC1,8,400000,-100.35970194498698
27,2,OC1,8,400000,-100.35661477355957
28,3,OC1,8,400000,-100.34569262797038
29,4,OC1,8,400000,-100.32904476171367
30,0,OC1,4096,400000,-100.37641613260905
31,1,OC1,4096,400000,-100.37584033203125
32,2,OC1,4096,400000,-100.37229929199219
33,3,OC1,4096,400000,-100.36224205423991
34,4,OC1,4096,400000,-100.35008580265944
35,0,OC1,16,400000,-100.36570516967774
36,1,OC1,16,400000,-100.36507698364258
37,2,OC1,16,400000,-100.36175205281576
38,3,OC1,16,400000,-100.35114989827474
39,4,OC1,16,400000,-100.33710959638368
40,0,OC1,128,400000,-100.36434011840821
41,1,OC1,128,400000,-100.36335172322592
42,2,OC1,128,400000,-100.35927414652507
43,3,OC1,128,400000,-100.34853733418782
44,4,OC1,128,400000,-100.3335131940118
45,0,OC1,512,400000,-100.36681278483073
46,1,OC1,512,400000,-100.36597140096029
47,2,OC1,512,400000,-100.36324527587891
48,3,OC1,512,400000,-100.3533449391683
49,4,OC1,512,400000,-100.34114044185384
50,0,OC1,64,400000,-100.37188617045085
51,1,OC1,64,400000,-100.37093633626301
52,2,OC1,64,400000,-100.36784525044759
53,3,OC1,64,400000,-100.35758220825196
54,4,OC1,64,400000,-100.3443847810893
55,0,OC1,256,400000,-100.36412359822592
56,1,OC1,256,400000,-100.36216017049153
57,2,OC1,256,400000,-100.35890715738932
58,3,OC1,256,400000,-100.34775499369303
59,4,OC1,256,400000,-100.3330882400938
60,0,OC1,1024,400000,-100.37527539672851
61,1,OC1,1024,400000,-100.37398514302572
62,2,OC1,1024,400000,-100.37089193827312
63,3,OC1,1024,400000,-100.36097462361654
64,4,OC1,1024,400000,-100.34850355433947
65,0,OC1,2048,400000,-100.37595355326334
66,1,OC1,2048,400000,-100.37501477254231
67,2,OC1,2048,400000,-100.37201188863118
68,3,OC1,2048,400000,-100.36205372823079
69,4,OC1,2048,400000,-100.34931683721567
70,0,Scratch,4,0,-65.98076955655732
71,1,Scratch,4,0,-66.13024678442699
72,2,Scratch,4,0,-66.13723110095981
73,3,Scratch,4,0,-65.9767774457151
74,4,Scratch,4,0,-65.67174897382861
75,0,Scratch,32,0,-94.18889775452283
76,1,Scratch,32,0,-94.17108956983468
77,2,Scratch,32,0,-94.09862342358375
78,3,Scratch,32,0,-93.92171779496222
79,4,Scratch,32,0,-93.7004292855022
80,0,Scratch,1,0,-44.2582861749196
81,1,Scratch,1,0,-44.071763127813796
82,2,Scratch,1,0,-43.81728003004074
83,3,Scratch,1,0,-43.166949449458514
84,4,Scratch,1,0,-42.34875222000946
85,0,Scratch,2,0,-50.45084802463252
