,C,rmean,stdev,steps,checkpoint,mode,sampler,mol batch size,electron batch size
0,6,-237.01777037933869,0.0006201839396999191,64000,alpha,ftcp,stack,32.0,32.0
1,7,-276.3218178192387,0.0006537902893766187,64000,alpha,ftcp,stack,32.0,32.0
2,8,-315.61729469088476,0.001588734730494281,64000,alpha,ftcp,stack,32.0,32.0
3,9,-354.9141300401374,0.0007650424871133195,64000,alpha,ftcp,stack,32.0,32.0
4,10,-394.2041296878437,0.0018849128985150895,64000,alpha,ftcp,stack,32.0,32.0
5,11,-433.498959215094,0.0004656769513326444,64000,alpha,ftcp,stack,32.0,32.0
6,12,-472.77971722200357,0.003483596461349541,64000,alpha,ftcp,stack,32.0,32.0
7,13,-512.0681735819254,0.0038799983066172966,64000,alpha,ftcp,stack,32.0,32.0
8,6,-237.04440362683852,0.00034523950000201956,52000,alpha,ftcp,double-langevin,32.0,32.0
9,7,-276.3550082955713,0.0012915195358285962,52000,alpha,ftcp,double-langevin,32.0,32.0
10,8,-315.65899903300556,0.0008176814081861401,52000,alpha,ftcp,double-langevin,32.0,32.0
11,9,-354.96115358939755,0.0013505893191042048,52000,alpha,ftcp,double-langevin,32.0,32.0
12,10,-394.26040981561107,0.0007705296393179511,52000,alpha,ftcp,double-langevin,32.0,32.0
13,11,-433.56654947693045,0.001339077792588247,52000,alpha,ftcp,double-langevin,32.0,32.0
14,12,-472.86958617015887,0.0008501237501266584,52000,alpha,ftcp,double-langevin,32.0,32.0
15,13,-512.1525475122038,0.0015152935588886609,52000,alpha,ftcp,double-langevin,32.0,32.0
16,6,-237.0561615416562,0.001010158733632868,120000,alpha,ftcp,double-langevin,32.0,32.0
17,7,-276.37168966142104,0.0011037296900120919,120000,alpha,ftcp,double-langevin,32.0,32.0
18,8,-315.6787795173247,0.0009946287021888964,120000,alpha,ftcp,double-langevin,32.0,32.0
19,9,-354.99003890594685,0.0002293152184126722,120000,alpha,ftcp,double-langevin,32.0,32.0
20,10,-394.2955490172378,0.0021789799849068927,120000,alpha,ftcp,double-langevin,32.0,32.0
21,11,-433.6052948745618,0.0012863643604369482,120000,alpha,ftcp,double-langevin,32.0,32.0
22,12,-472.91121934802027,0.0012299270944808797,120000,alpha,ftcp,double-langevin,32.0,32.0
23,13,-512.2196385064431,0.0017259072332258911,120000,alpha,ftcp,double-langevin,32.0,32.0
24,6,-237.04598689538426,0.0011886044502158856,79000,alpha,ftcp,nss,32.0,32.0
25,7,-276.35577319857634,0.0007965128531287105,79000,alpha,ftcp,nss,32.0,32.0
26,8,-315.6571079475222,0.002284755209033144,79000,alpha,ftcp,nss,32.0,32.0
27,9,-354.9618384663758,0.0017269087437429653,79000,alpha,ftcp,nss,32.0,32.0
28,10,-394.26216635179736,0.001554510618969598,79000,alpha,ftcp,nss,32.0,32.0
29,11,-433.5675409423006,0.002806700821067765,79000,alpha,ftcp,nss,32.0,32.0
30,12,-472.85884611727846,0.0027903198018530383,79000,alpha,ftcp,nss,32.0,32.0
31,13,-512.1575723817355,0.004455614800280068,79000,alpha,ftcp,nss,32.0,32.0
32,6,-237.06099256006294,0.000710479274866689,160000,alpha,ftcp,double-langevin,32.0,32.0
33,7,-276.37005800077594,0.0015839509348829993,160000,alpha,ftcp,double-langevin,32.0,32.0
34,8,-315.67831843905594,0.001948046580071305,160000,alpha,ftcp,double-langevin,32.0,32.0
35,9,-354.978197480159,0.0022649149112242634,160000,alpha,ftcp,double-langevin,32.0,32.0
36,10,-394.2813226053132,0.0030999107996923657,160000,alpha,ftcp,double-langevin,32.0,32.0
37,11,-433.59548591915245,0.004370519481751078,160000,alpha,ftcp,double-langevin,32.0,32.0
38,12,-472.8974636962055,0.00263537166898215,160000,alpha,ftcp,double-langevin,32.0,32.0
39,13,-512.1911916973943,0.006999159233794835,160000,alpha,ftcp,double-langevin,32.0,32.0
40,6,-237.05932802655514,0.0008785778780110902,160000,alpha,ftcp,nss,32.0,32.0
41,7,-276.3694229059759,0.0007271871722754302,160000,alpha,ftcp,nss,32.0,32.0
42,8,-315.6751768991902,0.0008718099696564285,160000,alpha,ftcp,nss,32.0,32.0
43,10,-394.29198401859827,0.0009354482158166432,160000,alpha,ftcp,nss,32.0,32.0
44,9,-354.98387376543815,0.0004284786698174207,160000,alpha,ftcp,nss,32.0,32.0
45,11,-433.6006198883268,0.0023735916113318024,160000,alpha,ftcp,nss,32.0,32.0
46,12,-472.9014580372833,0.001358896103086399,160000,alpha,ftcp,nss,32.0,32.0
47,13,-512.2069429553218,0.002499295952703464,160000,alpha,ftcp,nss,32.0,32.0
48,6,-237.0626511488851,0.00021344891021469252,180000,alpha,ftcp,double-langevin,32.0,32.0
49,7,-276.3724342587397,0.00016730544879517864,180000,alpha,ftcp,double-langevin,32.0,32.0
50,8,-315.68346085449656,0.00013245630958312187,180000,alpha,ftcp,double-langevin,32.0,32.0
51,9,-354.9908312433334,0.00036798018214815107,180000,alpha,ftcp,double-langevin,32.0,32.0
52,10,-394.2998988627116,0.00034754401387427367,180000,alpha,ftcp,double-langevin,32.0,32.0
53,11,-433.60548246029686,0.0008088466115744661,180000,alpha,ftcp,double-langevin,32.0,32.0
54,12,-472.9164677325916,0.001041131651035001,180000,alpha,ftcp,double-langevin,32.0,32.0
55,13,-512.2216326554258,0.0008849242122653529,180000,alpha,ftcp,double-langevin,32.0,32.0
56,6,-236.91388083924645,0.0,CBS,,CCSD(T),,,
57,7,-276.1995689665575,0.0,CBS,,CCSD(T),,,
58,8,-315.4852762211796,0.0,CBS,,CCSD(T),,,
59,9,-354.77098943796324,0.0,CBS,,CCSD(T),,,
60,10,-394.0567061891076,0.0,CBS,,CCSD(T),,,
61,11,-433.3424241669701,0.0,CBS,,CCSD(T),,,
62,12,-472.6281437013658,0.0,CBS,,CCSD(T),,,
63,13,-511.9138630918413,0.0,CBS,,CCSD(T),,,
64,6,-235.46736539844807,0.0,CBS,,HF,,,
65,7,-274.517268306398,0.0,CBS,,HF,,,
66,8,-313.5671673211234,0.0,CBS,,HF,,,
67,9,-352.6170640596503,0.0,CBS,,HF,,,
68,10,-391.66695983611726,0.0,CBS,,HF,,,
69,11,-430.71685489868366,0.0,CBS,,HF,,,
70,12,-469.7667495919967,0.0,CBS,,HF,,,
71,13,-508.81664398311545,0.0,CBS,,HF,,,
